load data...
Start train...
2022-01-14 17:05:16.183648 Epoch [004/200], Step [0040/0253], Total_loss: 2.2199 Loss1: 1.7390 Loss2: 0.4809
2022-01-14 17:05:36.883864 Epoch [004/200], Step [0060/0253], Total_loss: 2.7300 Loss1: 2.1050 Loss2: 0.6250
2022-01-14 17:05:57.424279 Epoch [004/200], Step [0080/0253], Total_loss: 2.5598 Loss1: 2.0106 Loss2: 0.5492
2022-01-14 17:06:17.856393 Epoch [004/200], Step [0100/0253], Total_loss: 2.3959 Loss1: 1.9338 Loss2: 0.4622
2022-01-14 17:06:38.543626 Epoch [004/200], Step [0120/0253], Total_loss: 2.6074 Loss1: 2.0242 Loss2: 0.5831
2022-01-14 17:06:59.132945 Epoch [004/200], Step [0140/0253], Total_loss: 2.5581 Loss1: 2.0152 Loss2: 0.5429
2022-01-14 17:07:18.472508 Epoch [004/200], Step [0160/0253], Total_loss: 2.3263 Loss1: 1.8048 Loss2: 0.5215
2022-01-14 17:07:40.106748 Epoch [004/200], Step [0180/0253], Total_loss: 2.2240 Loss1: 1.7351 Loss2: 0.4889
2022-01-14 17:08:01.228232 Epoch [004/200], Step [0200/0253], Total_loss: 2.4733 Loss1: 1.9178 Loss2: 0.5556
2022-01-14 17:08:22.516621 Epoch [004/200], Step [0220/0253], Total_loss: 2.9379 Loss1: 2.3002 Loss2: 0.6377
2022-01-14 17:08:43.973778 Epoch [004/200], Step [0240/0253], Total_loss: 2.5647 Loss1: 2.0039 Loss2: 0.5609
2022-01-14 17:08:57.464235 Epoch [004/200], Step [0253/0253], Total_loss: 2.5408 Loss1: 1.9989 Loss2: 0.5419
Epoch: 4, MAE: 0.04973467495693831, bestMAE: 0.0486648342648734, bestEpoch: 2.
2022-01-14 17:15:29.028248 Epoch [005/200], Step [0001/0253], Total_loss: 2.8278 Loss1: 2.2057 Loss2: 0.6221
2022-01-14 17:15:49.539287 Epoch [005/200], Step [0020/0253], Total_loss: 2.2152 Loss1: 1.7011 Loss2: 0.5141
2022-01-14 17:16:10.930025 Epoch [005/200], Step [0040/0253], Total_loss: 2.2882 Loss1: 1.7492 Loss2: 0.5390
2022-01-14 17:16:32.427286 Epoch [005/200], Step [0060/0253], Total_loss: 2.6046 Loss1: 1.9935 Loss2: 0.6111
2022-01-14 17:16:53.912831 Epoch [005/200], Step [0080/0253], Total_loss: 2.3161 Loss1: 1.7819 Loss2: 0.5342
2022-01-14 17:17:15.277640 Epoch [005/200], Step [0100/0253], Total_loss: 2.5476 Loss1: 1.9795 Loss2: 0.5681
2022-01-14 17:17:36.651222 Epoch [005/200], Step [0120/0253], Total_loss: 2.5773 Loss1: 1.9821 Loss2: 0.5953
2022-01-14 17:17:58.159356 Epoch [005/200], Step [0140/0253], Total_loss: 2.5774 Loss1: 1.9543 Loss2: 0.6231
2022-01-14 17:18:19.787885 Epoch [005/200], Step [0160/0253], Total_loss: 2.4543 Loss1: 1.9012 Loss2: 0.5531
2022-01-14 17:18:41.068122 Epoch [005/200], Step [0180/0253], Total_loss: 2.5191 Loss1: 1.9539 Loss2: 0.5651
2022-01-14 17:19:02.532826 Epoch [005/200], Step [0200/0253], Total_loss: 2.2267 Loss1: 1.7036 Loss2: 0.5231
2022-01-14 17:19:23.784709 Epoch [005/200], Step [0220/0253], Total_loss: 2.2413 Loss1: 1.7285 Loss2: 0.5129
2022-01-14 17:19:45.201636 Epoch [005/200], Step [0240/0253], Total_loss: 2.2809 Loss1: 1.7532 Loss2: 0.5277
2022-01-14 17:19:58.964485 Epoch [005/200], Step [0253/0253], Total_loss: 1.8782 Loss1: 1.4496 Loss2: 0.4286
Epoch: 5, MAE: 0.0575701203546089, bestMAE: 0.0486648342648734, bestEpoch: 2.
2022-01-14 17:26:08.430030 Epoch [006/200], Step [0001/0253], Total_loss: 2.4474 Loss1: 1.9040 Loss2: 0.5434
2022-01-14 17:26:29.040932 Epoch [006/200], Step [0020/0253], Total_loss: 2.0144 Loss1: 1.5673 Loss2: 0.4471
2022-01-14 17:26:50.430558 Epoch [006/200], Step [0040/0253], Total_loss: 1.9823 Loss1: 1.5296 Loss2: 0.4527
2022-01-14 17:27:11.893477 Epoch [006/200], Step [0060/0253], Total_loss: 2.0631 Loss1: 1.5802 Loss2: 0.4829
2022-01-14 17:27:33.541510 Epoch [006/200], Step [0080/0253], Total_loss: 2.1527 Loss1: 1.6807 Loss2: 0.4720
2022-01-14 17:27:54.863986 Epoch [006/200], Step [0100/0253], Total_loss: 2.1810 Loss1: 1.6823 Loss2: 0.4987
2022-01-14 17:28:16.379207 Epoch [006/200], Step [0120/0253], Total_loss: 1.9445 Loss1: 1.5125 Loss2: 0.4320
2022-01-14 17:28:37.784404 Epoch [006/200], Step [0140/0253], Total_loss: 2.3591 Loss1: 1.8137 Loss2: 0.5454
2022-01-14 17:28:59.431343 Epoch [006/200], Step [0160/0253], Total_loss: 2.6781 Loss1: 2.0413 Loss2: 0.6368
2022-01-14 17:29:20.754019 Epoch [006/200], Step [0180/0253], Total_loss: 2.3556 Loss1: 1.8254 Loss2: 0.5302
2022-01-14 17:29:42.050064 Epoch [006/200], Step [0200/0253], Total_loss: 2.6030 Loss1: 2.0000 Loss2: 0.6030
2022-01-14 17:30:03.489629 Epoch [006/200], Step [0220/0253], Total_loss: 2.4311 Loss1: 1.8729 Loss2: 0.5581
2022-01-14 17:30:24.782005 Epoch [006/200], Step [0240/0253], Total_loss: 2.5577 Loss1: 1.9814 Loss2: 0.5764
2022-01-14 17:30:38.452061 Epoch [006/200], Step [0253/0253], Total_loss: 3.0689 Loss1: 2.3631 Loss2: 0.7058
Epoch: 6, MAE: 0.05245168824357664, bestMAE: 0.0486648342648734, bestEpoch: 2.
2022-01-14 17:37:11.343106 Epoch [007/200], Step [0001/0253], Total_loss: 2.6031 Loss1: 2.0011 Loss2: 0.6020
2022-01-14 17:37:32.128008 Epoch [007/200], Step [0020/0253], Total_loss: 2.1699 Loss1: 1.6805 Loss2: 0.4895
2022-01-14 17:37:53.591314 Epoch [007/200], Step [0040/0253], Total_loss: 2.0015 Loss1: 1.5462 Loss2: 0.4553
2022-01-14 17:38:15.047169 Epoch [007/200], Step [0060/0253], Total_loss: 1.9358 Loss1: 1.4894 Loss2: 0.4464
2022-01-14 17:38:36.382403 Epoch [007/200], Step [0080/0253], Total_loss: 2.4809 Loss1: 1.9302 Loss2: 0.5506
2022-01-14 17:38:55.506731 Epoch [007/200], Step [0100/0253], Total_loss: 1.9527 Loss1: 1.5173 Loss2: 0.4354
2022-01-14 17:39:14.074206 Epoch [007/200], Step [0120/0253], Total_loss: 2.3277 Loss1: 1.7707 Loss2: 0.5570
2022-01-14 17:39:33.323943 Epoch [007/200], Step [0140/0253], Total_loss: 1.9907 Loss1: 1.5550 Loss2: 0.4357
2022-01-14 17:39:53.994882 Epoch [007/200], Step [0160/0253], Total_loss: 2.3311 Loss1: 1.8088 Loss2: 0.5223
2022-01-14 17:40:14.688631 Epoch [007/200], Step [0180/0253], Total_loss: 2.3720 Loss1: 1.8207 Loss2: 0.5513
2022-01-14 17:40:35.167160 Epoch [007/200], Step [0200/0253], Total_loss: 2.1926 Loss1: 1.6896 Loss2: 0.5030
2022-01-14 17:40:55.801050 Epoch [007/200], Step [0220/0253], Total_loss: 2.5467 Loss1: 1.9592 Loss2: 0.5875
2022-01-14 17:41:16.487119 Epoch [007/200], Step [0240/0253], Total_loss: 2.0316 Loss1: 1.5692 Loss2: 0.4624
2022-01-14 17:41:29.643695 Epoch [007/200], Step [0253/0253], Total_loss: 3.1958 Loss1: 2.4522 Loss2: 0.7436
Epoch: 7, MAE: 0.0630555124528164, bestMAE: 0.0486648342648734, bestEpoch: 2.
2022-01-14 17:47:53.124379 Epoch [008/200], Step [0001/0253], Total_loss: 2.0862 Loss1: 1.6081 Loss2: 0.4781
2022-01-14 17:48:13.844083 Epoch [008/200], Step [0020/0253], Total_loss: 1.9690 Loss1: 1.5034 Loss2: 0.4656
2022-01-14 17:48:35.200865 Epoch [008/200], Step [0040/0253], Total_loss: 2.1257 Loss1: 1.6356 Loss2: 0.4901
2022-01-14 17:48:56.601569 Epoch [008/200], Step [0060/0253], Total_loss: 2.1645 Loss1: 1.6787 Loss2: 0.4858
2022-01-14 17:49:18.166825 Epoch [008/200], Step [0080/0253], Total_loss: 2.2556 Loss1: 1.7370 Loss2: 0.5186
2022-01-14 17:49:39.691685 Epoch [008/200], Step [0100/0253], Total_loss: 2.2918 Loss1: 1.7391 Loss2: 0.5527
2022-01-14 17:50:01.176132 Epoch [008/200], Step [0120/0253], Total_loss: 2.2361 Loss1: 1.7305 Loss2: 0.5057
2022-01-14 17:50:22.857694 Epoch [008/200], Step [0140/0253], Total_loss: 2.0382 Loss1: 1.5916 Loss2: 0.4466
2022-01-14 17:50:44.248146 Epoch [008/200], Step [0160/0253], Total_loss: 2.4044 Loss1: 1.8379 Loss2: 0.5666
2022-01-14 17:51:05.852187 Epoch [008/200], Step [0180/0253], Total_loss: 2.3081 Loss1: 1.7762 Loss2: 0.5319
2022-01-14 17:51:27.257279 Epoch [008/200], Step [0200/0253], Total_loss: 2.3489 Loss1: 1.8006 Loss2: 0.5484
2022-01-14 17:51:48.658766 Epoch [008/200], Step [0220/0253], Total_loss: 2.1597 Loss1: 1.6607 Loss2: 0.4990
2022-01-14 17:52:09.725198 Epoch [008/200], Step [0240/0253], Total_loss: 2.4553 Loss1: 1.9046 Loss2: 0.5507
2022-01-14 17:52:23.341099 Epoch [008/200], Step [0253/0253], Total_loss: 2.0153 Loss1: 1.5426 Loss2: 0.4726
Epoch: 8, MAE: 0.04671605687813715, bestMAE: 0.0486648342648734, bestEpoch: 2.
Save state_dict successfully! Best epoch:8.
2022-01-14 17:58:44.722833 Epoch [009/200], Step [0001/0253], Total_loss: 1.8281 Loss1: 1.4034 Loss2: 0.4247
2022-01-14 17:59:04.387552 Epoch [009/200], Step [0020/0253], Total_loss: 2.2385 Loss1: 1.7254 Loss2: 0.5130
2022-01-14 17:59:24.969768 Epoch [009/200], Step [0040/0253], Total_loss: 1.9706 Loss1: 1.5110 Loss2: 0.4596
2022-01-14 17:59:45.564890 Epoch [009/200], Step [0060/0253], Total_loss: 1.8904 Loss1: 1.4630 Loss2: 0.4274
2022-01-14 18:00:06.334617 Epoch [009/200], Step [0080/0253], Total_loss: 1.9335 Loss1: 1.4866 Loss2: 0.4470
2022-01-14 18:00:27.156230 Epoch [009/200], Step [0100/0253], Total_loss: 2.0849 Loss1: 1.5956 Loss2: 0.4893
2022-01-14 18:00:47.833854 Epoch [009/200], Step [0120/0253], Total_loss: 2.5828 Loss1: 1.9555 Loss2: 0.6273
2022-01-14 18:01:08.621713 Epoch [009/200], Step [0140/0253], Total_loss: 2.5707 Loss1: 1.9821 Loss2: 0.5886
2022-01-14 18:01:29.190461 Epoch [009/200], Step [0160/0253], Total_loss: 2.2800 Loss1: 1.7409 Loss2: 0.5391
2022-01-14 18:01:49.731044 Epoch [009/200], Step [0180/0253], Total_loss: 1.8312 Loss1: 1.4018 Loss2: 0.4294
2022-01-14 18:02:10.254825 Epoch [009/200], Step [0200/0253], Total_loss: 2.3728 Loss1: 1.8177 Loss2: 0.5552
2022-01-14 18:02:29.840025 Epoch [009/200], Step [0220/0253], Total_loss: 2.0187 Loss1: 1.5536 Loss2: 0.4651
2022-01-14 18:02:51.459577 Epoch [009/200], Step [0240/0253], Total_loss: 1.9453 Loss1: 1.4851 Loss2: 0.4601
2022-01-14 18:03:04.831539 Epoch [009/200], Step [0253/0253], Total_loss: 1.8958 Loss1: 1.4616 Loss2: 0.4343
Epoch: 9, MAE: 0.0451552954384107, bestMAE: 0.04671605687813715, bestEpoch: 8.
Save state_dict successfully! Best epoch:9.
2022-01-14 18:09:36.319121 Epoch [010/200], Step [0001/0253], Total_loss: 2.5437 Loss1: 1.9332 Loss2: 0.6105
2022-01-14 18:09:56.841527 Epoch [010/200], Step [0020/0253], Total_loss: 1.6113 Loss1: 1.2426 Loss2: 0.3687
2022-01-14 18:10:18.396607 Epoch [010/200], Step [0040/0253], Total_loss: 1.9408 Loss1: 1.4875 Loss2: 0.4532
2022-01-14 18:10:39.961965 Epoch [010/200], Step [0060/0253], Total_loss: 2.0812 Loss1: 1.6087 Loss2: 0.4725
2022-01-14 18:11:01.365007 Epoch [010/200], Step [0080/0253], Total_loss: 1.8403 Loss1: 1.4156 Loss2: 0.4247
2022-01-14 18:11:22.798514 Epoch [010/200], Step [0100/0253], Total_loss: 1.9816 Loss1: 1.5145 Loss2: 0.4671
